t,i,k,hs02_desc,section,section_name,v,share
2021,398,71080,"Vegetables: uncooked or cooked by steaming or boiling in water, frozen, n.e.s. in chapter 7",2,Vegetable products,105.862,1.9577905660930987e-6
2021,398,71090,"Vegetable mixtures: uncooked or cooked by steaming or boiling in water, frozen",2,Vegetable products,10.561,1.953130128706166e-7
2021,398,71159,"Vegetables: mushrooms other than of the genus Agaricus, provisionally preserved but unsuitable in that state for immediate consumption",2,Vegetable products,0.666,1.2316870236893351e-8
2021,398,71190,"Vegetables and mixed vegetables: n.e.s. in heading no. 0711, provisionally preserved but unsuitable in that state for immediate consumption",2,Vegetable products,256.148,4.737149665825462e-6
2021,398,71220,"Vegetables: onions, whole, cut, sliced, broken or in powder but not further prepared, dried",2,Vegetable products,0.155,2.8665388689466505e-9
2021,398,71239,"Vegetables: mushrooms, other than the genus Agaricus and truffles, whole, cut, sliced, broken or in powder but not further prepared, dried",2,Vegetable products,90.94800000000001,1.6819740455029677e-6
2021,398,71290,"Vegetables: mixtures of vegetables n.e.s. in heading no. 0712, whole, cut, sliced, broken or in powder but not further prepared, dried",2,Vegetable products,132.13400000000001,2.443659657479979e-6
2021,398,71310,"Vegetables, leguminous: peas (pisum sativum), shelled, whether or not skinned or split, dried",2,Vegetable products,13072.770000000002,2.4176518277290135e-4
2021,398,71320,"Vegetables, leguminous: chickpeas (garbanzos), shelled, whether or not skinned or split, dried",2,Vegetable products,5307.51,9.81560239504712e-5
2021,398,71331,"Vegetables, leguminous: beans of the species vigna mungo (l.) hepper or vigna radiata (l.) wilczek, dried, shelled, whether or not skinned or split",2,Vegetable products,42.019,7.770909466727051e-7
2021,398,71332,"Vegetables, leguminous: small red (adzuki) beans (phaseolus or vigna angularis), shelled, dried, whether or not skinned or split",2,Vegetable products,0.276,5.1042885666404874e-9
2021,398,71333,"Vegetables, leguminous: kidney beans, including white pea beans (phaseolus vulgaris), dried, shelled, whether or not skinned or split",2,Vegetable products,591.348,1.0936271142412023e-5
2021,398,71339,"Vegetables, leguminous: n.e.s. in item no. 0713.30, dried, shelled, whether or not skinned or split",2,Vegetable products,30.731,5.683329418167711e-7
2021,398,71340,"Vegetables, leguminous: lentils, shelled, whether or not skinned or split, dried",2,Vegetable products,31928.338000000003,5.904762703088153e-4
2021,398,71350,"Vegetables, leguminous: broad beans (vicia faba var. major) and horse beans (vicia faba var. equina and vicia faba var. minor), dried, shelled, whether or not skinned or split",2,Vegetable products,26.743,4.945796707886469e-7
2021,398,71390,"Vegetables, leguminous: n.e.s. in heading no. 0713, shelled, whether or not skinned or split, dried",2,Vegetable products,4.402,8.140970387808488e-8
2021,398,80111,"Nuts, edible: coconuts, fresh or dried, whether or not shelled or peeled, desiccated",2,Vegetable products,9.025,1.6690653736931305e-7
2021,398,80119,"Nuts, edible: coconuts, fresh or dried, whether or not shelled or peeled, other than desiccated",2,Vegetable products,19.041,3.5214042970073013e-7
2021,398,80132,"Nuts, edible: cashew nuts, shelled, fresh or dried",2,Vegetable products,16.168,2.990077447298674e-7
2021,398,80212,"Nuts, edible: almonds, fresh or dried, shelled",2,Vegetable products,44.785000000000004,8.282447951340371e-7
2021,398,80222,"Nuts, edible: hazelnuts or filberts (corylus spp.), fresh or dried, shelled",2,Vegetable products,26.182,4.842046494629755e-7
2021,398,80231,"Nuts, edible: walnuts, fresh or dried, in shell",2,Vegetable products,9.665,1.787425688281895e-7
