t,i,j,name,k,hs02_desc,v,q
2021,398,156,People's Republic of China,611490,"Garments: of textile materials (other than wool or fine animal hair, cotton or man-made fibres), knitted or crocheted, n.e.s. in chapter 61",0.204,        0.002
2021,398,156,People's Republic of China,621142,"Track suits and other garments n.e.s.: women's or girls', of cotton (not knitted or crocheted)",0.193,        0.014
2021,398,156,People's Republic of China,854389,"Electrical machines and apparatus: n.e.s. in heading no. 8543, (other than proximity cards or tags), having individual functions n.e.s. in chapter 85",0.189,        0.002
2021,398,156,People's Republic of China,830590,"Stationery: letter clips, letter corners, paper clips, indexing tags and similar office articles, including parts, of base metal",0.188,        0.017
2021,398,156,People's Republic of China,610620,"Blouses, shirts and shirt-blouses: women's or girls', of man-made fibres, knitted or crocheted",0.187,        0.003
2021,398,156,People's Republic of China,271410,Bituminous or oil shale and tar sands,0.181,        0.405
2021,398,156,People's Republic of China,442190,Wood: articles of wood n.e.s. in heading no. 4414 to 4420 (excluding clothes hangers),0.168,        0.001
2021,398,156,People's Republic of China,300290,"Toxins, cultures of micro-organisms (excluding yeasts) and similar products",0.16,        0.001
2021,398,156,People's Republic of China,730890,"Iron or steel: structures and parts thereof, n.e.s. in heading no. 7308",0.15,        2.064
2021,398,156,People's Republic of China,390230,"Propylene, other olefin polymers: propylene copolymers in primary forms",0.134,        0.022
2021,398,156,People's Republic of China,970500,"Collections and collectors' pieces: of zoological, botanical, mineralogical, anatomical, historical, archaeological, palaeontological, ethnographic or numismatic interest",0.127,        0.002
2021,398,156,People's Republic of China,870829,"Vehicles: parts and accessories, of bodies, other than safety seat belts",0.12,        0.002
2021,398,156,People's Republic of China,151491,"Vegetable oils: excluding low erucic acid rape or colza oil and its fractions, crude",0.108,        0.002
2021,398,156,People's Republic of China,846890,"Machinery and apparatus: parts, soldering, brazing or welding, whether or not capable of cutting, parts thereof",0.083,        0.004
2021,398,156,People's Republic of China,293359,"Heterocyclic compounds: containing a pyrimidine ring (whether or not hydrogenated) or piperazine ring in the structure, (other than malonylurea (barbituric acid) and its derivatives),and loprazolam, mecloqualone, methaqualone, zipeprol and salts thereof",0.071,        0.002
2021,398,156,People's Republic of China,200980,"Juice: of any single fruit or vegetable n.e.s. in heading no. 2009, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter",0.059,        0.057
2021,398,156,People's Republic of China,90210,"Tea, green: (not fermented), in immediate packings of a content not exceeding 3kg",0.054,        0.004
2021,398,156,People's Republic of China,640411,"Sports footwear: tennis shoes, basketball shoes, gym shoes, training shoes and the like, with outer soles of rubber or plastics and uppers of textile materials",0.053,        0.001
2021,398,156,People's Republic of China,481920,"Paper and paperboard: folding cartons, boxes and cases, of non-corrugated paper or paperboard",0.052,        0.015
2021,398,156,People's Republic of China,620442,"Dresses: women's or girls', of cotton (not knitted or crocheted)",0.046,           NA
2021,398,156,People's Republic of China,732010,Iron or steel: leaf-springs and leaves therefor,0.042,        0.034
2021,398,156,People's Republic of China,870891,"Vehicles: parts, radiators",0.042,        0.002
2021,398,156,People's Republic of China,392510,"Plastics: builders' ware, reservoirs, tanks, vats and similar containers of a capacity exceeding 300 litres",0.039,        0.002
2021,398,156,People's Republic of China,621710,Clothing accessories: other than those of heading no. 6212 (not knitted or crocheted),0.038,        0.001
2021,398,156,People's Republic of China,700991,"Glass mirrors: unframed, excluding rear-view mirrors for vehicles",0.036,        0.010
2021,398,156,People's Republic of China,270119,"Coal: (other than anthracite and bituminous), whether or not pulverised but not agglomerated",0.032,        0.014
2021,398,156,People's Republic of China,620892,"Singlets and other vests, briefs, panties, negligees, bathrobes, dressing gowns and similar articles: women's or girls', of man-made fibres (not knitted or crocheted)",0.031,        0.001
2021,398,156,People's Republic of China,870840,"Vehicles: parts, gear boxes",0.03,        0.001
2021,398,156,People's Republic of China,481141,"Paper and paperboard: self-adhesive, in rolls or sheets, other than goods of heading no. 4803, 4809, 4810 or 4818",0.028,        0.008
2021,398,156,People's Republic of China,920590,"Musical instruments: wind, other than brass (eg clarinets, bagpipes)",0.027,           NA
2021,398,156,People's Republic of China,870810,"Vehicles: bumpers and parts thereof, for the vehicles of heading no. 8701 to 8705",0.02,        0.001
2021,398,156,People's Republic of China,848180,"Taps, cocks, valves and similar appliances: for pipes, boiler shells, tanks, vats or the like, including thermostatically controlled valves",0.019,        0.001
2021,398,156,People's Republic of China,220421,"Wine: still, in containers holding 2 litres or less",0.018,        0.009
2021,398,156,People's Republic of China,253090,Mineral substances: n.e.s. in chapter 25,0.013,        0.029
2021,398,156,People's Republic of China,482190,"Paper and paperboard: labels of all kinds, unprinted",0.013,        0.005
2021,398,156,People's Republic of China,611430,"Garments: of man-made fibres, knitted or crocheted, n.e.s. in chapter 61",0.002,        0.001
2021,398,156,People's Republic of China,481190,"Paper, paperboard, cellulose wadding and webs of soft cellulose fibres: coated, impregnated, covered, surface-decorated or surface-coloured, n.e.s. in chapter 48, in rolls or sheets",0.001,           NA
2021,398,276,Germany,270900,"Oils: petroleum oils and oils obtained from bituminous minerals, crude",3524995.729,  7501151.000
2021,398,276,Germany,720241,"Ferro-alloys: ferro-chromium, containing by weight more than 4% of carbon",93652.919,    61332.869
